Scheme Code,ISIN Div Payout/ ISIN Growth,Scheme Name,Net Asset Value
107745,INF209K01108,Aditya Birla Sun Life Tax Relief '96 - Growth Option,31.97
131741,INF084M01BX0,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,75.5
131740,INF084M01BV4,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Dividend Option,34.82
131739,INF084M01BU6,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Growth Option,75.28
131738,INF084M01333,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Bonus Option,73.28
131737,INF084M01317,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Dividend Option,33.97
131736,INF084M01309,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Growth Option,73.18
120502,INF846K01EX0,Axis Long Term Equity Fund - Direct Plan - Dividend option,38.2449
120503,INF846K01EW2,Axis Long Term Equity Fund - Direct Plan - Growth Option,44.8938
112322,INF846K01149,Axis Long Term Equity Fund - Dividend,24.7467
112323,INF846K01131,Axis Long Term Equity Fund - Growth,42.3003
100068,INF955L01641,BARODA PIONEER ELSS 96 - Plan A - Dividend Payout Option,35.14
119339,INF955L01914,BARODA PIONEER ELSS 96 - Plan B (Direct) - Dividend Payout Option,41.25
125111,INF955L01DA7,Baroda Pioneer ELSS 96 - Plan B (Direct)- Bonus Option,51.77
125110,INF955L01CZ6,Baroda Pioneer ELSS 96 Fund - Plan A- Bonus Option,48.69
134044,INF955L01GD4,Baroda Pioneer ELSS 96 Plan A -Growth Option,48.69
134045,INF955L01GE2,Baroda Pioneer ELSS 96 Plan B(Direct) -Growth Option,51.77
120146,INF251K01HH9,BNP Paribas Long Term Equity Fund - Direct Plan - Dividend Option,18.888
120147,INF251K01HF3,BNP Paribas Long Term Equity Fund - Direct Plan - Growth Option,40.122
113463,INF251K01985,BNP Paribas Long Term Equity Fund - Growth Option,38.963
113464,INF251K01AA9,BNP Paribas Long Term Equity Fund-Dividend Option,18.679
119352,INF761K01876,BOI AXA Tax Advantage Fund-Direct Plan-Dividend,29.53
111711,INF761K01132,BOI AXA Tax Advantage Fund-ECO Plan-Dividend,18.32
111709,INF761K01157,BOI AXA Tax Advantage Fund-ECO Plan-Growth,59.65
111710,INF761K01181,BOI AXA Tax Advantage Fund-Regular Plan- Growth,57.04
111708,INF761K01165,BOI AXA Tax Advantage Fund-Regular Plan-Dividend,16.23
119351,INF761K01884,OI AXA Tax Advantage Fund-Direct Plan- Growth,61.13
118286,INF760K01EJ2,Canara Robeco Equity Taxsaver - Direct Plan - Dividend Option,40.26
118285,INF760K01EL8,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option,62.7
100593,INF760K01084,Canara Robeco Equity Taxsaver - Regular Plan - Dividend,27.08
111722,INF760K01100,Canara Robeco Equity Taxsaver - Regular Plan - Growth,60.98
135600,INF663L01FO3,DHFL Pramerica Long Term Equity Fund - Direct Plan - Dividend Option,13.15
135601,INF663L01FN5,DHFL Pramerica Long Term Equity Fund - Direct Plan - Growth Option,14.78
135599,INF663L01FR6,DHFL Pramerica Long Term Equity Fund - Regular Plan - Dividend Option,12.88
135598,INF663L01FQ8,DHFL Pramerica Long Term Equity Fund - Regular Plan - Growth Option,14.44
138393,INF223J01887,DHFL Pramerica Tax Plan - Bonus,20.03
138396,INF223J01PD2,DHFL Pramerica Tax Plan - Direct Plan - Bonus,20.9
138395,INF223J01QY6,DHFL Pramerica Tax Plan - Direct Plan - Dividend,30.06
138394,INF223J01RA4,DHFL Pramerica Tax Plan - Direct Plan - Growth,33.63
138392,INF223J01333,DHFL Pramerica Tax Plan-DIVIDEND,25.56
138391,INF223J01358,DHFL Pramerica Tax Plan-GROWTH,31.49
119241,INF740K01OL9,DSP BlackRock Tax Saver Fund - Direct Plan - Dividend,35.777
119242,INF740K01OK1,DSP BlackRock Tax Saver Fund - Direct Plan - Growth,50.116
104773,INF740K01169,DSP BlackRock Tax Saver Fund - Regular Plan - Dividend,18.085
104772,INF740K01185,DSP BlackRock Tax Saver Fund - Regular Plan - Growth,48.436
118619,INF754K01BX2,EDELWEISS ELSS FUND - Direct Plan-Dividend Option,23.46
118620,INF754K01CA8,EDELWEISS ELSS FUND - Direct Plan-Growth Option,51.59
111639,INF754K01525,EDELWEISS ELSS FUND - Regular Plan - Dividend Option,19.19
111638,INF754K01517,EDELWEISS ELSS FUND - Regular Plan - Growth Option,49.38
140240,INF843K01AS5,Edelweiss Tax Advantage Fund - Direct Plan - Dividend Option,33.271
140241,INF843K01AR7,Edelweiss Tax Advantage Fund - Direct Plan - Growth Option,44.495
140239,INF843K01112,Edelweiss Tax Advantage Fund - Regular Plan - Dividend Option,31.9
140238,INF843K01104,Edelweiss Tax Advantage Fund - Regular Plan - Growth Option,42.317
100174,INF966L01119,Escorts Tax Plan-Dividend,14.6888
120846,INF966L01960,Escorts Tax Plan-Dividend Option-Direct Plan,14.3358
100175,INF966L01135,Escorts Tax Plan-Growth,94.9721
120847,INF966L01986,Escorts Tax Plan-Growth Option-Direct Plan,95.8616
135653,INF959L01CE3,Essel Long Term Advantage Fund- Direct Plan- Dividend Option,14.744
135654,INF959L01CD5,Essel Long Term Advantage Fund- Direct Plan- Growth Option,14.8507
135652,INF959L01CG8,Essel Long Term Advantage Fund- Regular Plan- Dividend Option,14.3609
135655,INF959L01CF0,Essel Long Term Advantage Fund- Regular Plan- Growth Option,14.3601
118541,INF090I01JT6,Franklin India TAXSHIELD - Direct - Dividend,47.626
118540,INF090I01JS8,Franklin India TAXSHIELD - Direct - Growth,594.5431
100525,INF090I01783,Franklin India Taxshield-Dividend,45.0512
100526,INF090I01775,Franklin India Taxshield-Growth,569.1672
100997,INF179K01970,HDFC  Long Term Advantage Fund - Dividend Option,48.54
100998,INF179K01996,HDFC  Long Term Advantage Fund - Growth Option,361.136
118928,INF179K01WV2,HDFC Long Term Advantage Fund -Direct Plan - Dividend Option,51.227
118929,INF179K01WX8,HDFC Long Term Advantage Fund -Direct Plan - Growth Option,371.992
119059,INF179K01YQ8,HDFC TaxSaver -Direct Plan - Dividend Option,75.206
119060,INF179K01YS4,HDFC TaxSaver -Direct Plan - Growth Option,576.555
101980,INF179K01AZ9,HDFC TaxSaver-Dividend Plan,72.344
101979,INF179K01BB8,HDFC TaxSaver-Growth Plan,559.13
104706,INF336L01AZ3,HSBC Tax Saver Equity Fund - Dividend,23.8859
120078,INF336L01ER2,HSBC Tax Saver Equity Fund - Dividend Direct,25.0876
104707,INF336L01BA4,HSBC Tax Saver Equity Fund - Growth,39.7176
120079,INF336L01EE0,HSBC Tax Saver Equity Fund - Growth Direct,41.2115
120593,INF109K01Y15,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Dividend,31.92
120592,INF109K01Y31,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth,382.19
100354,INF109K01464,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,363.16
100353,INF109K01FN1,ICICI Prudential Long Term Equity Fund (Tax Saving)- Dividend,24.19
123635,INF397L01ED4,IDBI Equity Advantage Fund - Dividend Direct,21.56
123636,INF397L01DZ9,IDBI Equity Advantage Fund - Dividend Regular,20.49
123637,INF397L01EC6,IDBI Equity Advantage Fund - Growth Direct,28
123638,INF397L01DY2,IDBI Equity Advantage Fund - Growth Regular,26.79
118472,INF194K01Y37,IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Dividend,23.3668
118473,INF194K01Y29,IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Growth,63.5662
111570,INF194K01300,IDFC Tax Advantage  (ELSS) Fund-Regular Plan-Dividend,19.3548
111569,INF194K01292,IDFC Tax Advantage  (ELSS) Fund-Regular Plan-Growth,60.329
141807,INF666M01DL5,Indiabulls Tax Savings Fund- Direct Plan- Dividend Option,10.47
141808,INF666M01DK7,Indiabulls Tax Savings Fund- Direct Plan- Growth Option,10.47
141810,INF666M01DO9,Indiabulls Tax Savings Fund- Regular Plan- Dividend Option,10.45
141862,INF666M01DN1,Indiabulls Tax Savings Fund-Regular Plan-Growth Option,10.45
120417,INF205K01NR2,Invesco India Tax Plan - Direct Plan - Dividend,22.18
120416,INF205K01NT8,Invesco India Tax Plan - Direct Plan - Growth,54.63
104635,INF205K01296,Invesco India Tax Plan - Dividend,20.73
104636,INF205K01270,Invesco India Tax Plan - Growth,50.73
120493,INF192K01CD5,JM Tax Gain Fund (Direct) - Dividend Option,17.4398
120494,INF192K01CE3,JM Tax Gain Fund (Direct) - Growth Option,17.8809
107287,INF192K01643,JM Tax Gain Fund - Dividend option,16.7522
107288,INF192K01650,JM Tax Gain Fund - Growth option,16.7523
103338,INF174K01377,Kotak Tax Saver-Scheme-Dividend,20.282
119772,INF174K01LJ1,Kotak Tax Saver-Scheme-Dividend - Direct,23.572
103339,INF174K01369,Kotak Tax Saver-Scheme-Growth,42.812
119773,INF174K01LI3,Kotak Tax Saver-Scheme-Growth - Direct,45.72
119417,INF917K01GP0,L&T  Tax Advantage Fund-Direct Plan-Growth,60.298
118047,INF677K01064,L&T  Tax Advantage Fund-Regular Plan-Growth,58.337
119418,INF917K01GO3,L&T Tax Advantage Fund-Direct Plan-Dividend,31.604
118048,INF677K01072,L&T Tax Advantage Fund-Regular Plan-Dividend,26.537
112537,INF917K01262,L&T Tax Saver Fund- Regular Plan - Dividend,33.92
112538,INF917K01288,L&T Tax Saver Fund-Regular Plan - Growth,39.56
120269,INF767K01EL3,LIC MF Tax Plan-Direct Plan-Dividend,19.9533
120270,INF767K01EM1,LIC MF Tax Plan-Direct Plan-Growth,68.7364
100864,INF767K01931,LIC MF Tax Plan-Regular Plan-Dividend,19.0263
100865,INF767K01956,LIC MF Tax Plan-Regular Plan-Growth,65.6669
134878,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-Dividend Reinvestment,18.712
134865,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-Dividend Reinvestment,18.0711
134876,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-Dividend Reinvestment,18.712
134847,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-Dividend Reinvestment,18.0711
135976,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-Dividend Reinvestment,18.712
135979,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-Dividend Reinvestment,18.0711
134877,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-Dividend Reinvestment,18.712
134864,-,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-Dividend Reinvestment,18.0711
134879,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-Dividend Reinvestment,18.712
134867,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-Dividend Reinvestment,18.0711
134881,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-Dividend Reinvestment,18.712
134863,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-Dividend Reinvestment,18.0711
135977,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-Dividend Reinvestment,18.712
135983,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-Dividend Reinvestment,18.0711
134880,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-Dividend Reinvestment,18.712
134868,-,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-Dividend Reinvestment,18.0711
134875,-,LIC MF ULIS (10 Yrs. Single Premium)-Direct Plan-Dividend Reinvestment,18.712
134846,-,LIC MF ULIS (10 Yrs. Single Premium)-Regular Plan-Dividend Reinvestment,18.0711
134882,-,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-Dividend Reinvestment,18.712
134870,-,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-Dividend Reinvestment,18.0711
